Club_ID,Name,City,Stadium
1,Arsenal,London,Emirates Stadium
2,Aston Villa,Birmingham,Villa Park
3,Brighton,Brighton,Amex Stadium
4,Burnley,Burnley,Amex Stadium
5,Chelsea,London,Stamford Bridge
6,Crystal Palace,London,Selhurst Park
7,Everton,Everton,Goodison Park
8,Fulham,London,Craven Cottage
9,Leeds United,Leeds,Elland Road
10,Leicester City,Leicester,King Power Stadium
11,Liverpool FC,Liverpool,Anfield
12,Manchester City,Manchester,Etihad Stadium
13,Manchester United,Manchester,Old Trafford
14,Newcastle United,Newcastle,St. James' Park
15,Sheffield United,Sheffield,Bramall Lane
16,Southampton,Southampton,St. Mary's Stadium
17,Tottenham Hotspur,London,Tottenham Hotspur Stadium
18,West Bromwich Albion,West Bromwich,The Hawthorns
19,West Ham United,London,London Stadium
20,Wolverhampton Wanderers,Wolverhamton,Molineux Stadium
