Club_ID,Matches_Played,Win,Draw,Loss,Goal_For,Goal_Against,Goal_Difference,Points,Rank
1,38,18,7,13,55,39,16,61,8
2,38,16,7,15,55,46,9,55,11
3,38,9,14,15,40,46,-6,41,16
4,38,10,9,19,33,55,-22,39,17
5,38,19,10,9,58,36,22,67,4
6,38,12,8,18,41,66,-25,44,14
7,38,17,8,13,47,48,-1,59,10
8,38,5,13,20,27,53,-26,28,18
9,38,18,5,15,62,54,8,59,9
10,38,20,6,12,68,50,18,66,5
11,38,20,9,9,68,42,26,69,3
12,38,27,5,6,83,32,51,86,1
13,38,21,11,6,73,44,29,74,2
14,38,12,9,17,46,62,-16,45,12
15,38,7,2,29,20,63,-43,23,20
16,38,12,7,19,47,68,-21,43,15
17,38,18,8,12,68,45,23,62,7
18,38,5,11,22,35,76,-41,26,19
19,38,19,8,11,62,47,15,65,6
20,38,12,9,17,36,52,-16,45,13
