FIFA Contry Code,Country (Name),State/Province,latitude,longitude
AFG,Afghanistan,,33.93911,67.709953
AIA,Anguilla,,18.220554,-63.068615
ALB,Albania,,41.153332,20.168331
ALG,Algeria,,28.033886,1.659626
AND,Andorra,,42.546245,1.601554
ANG,Angola,,-11.202692,17.873887
ARG,Argentina,,-38.416097,-63.616672
ARM,Armenia,,40.069099,45.038189
ARU,Aruba,,12.52111,-69.968338
ARU,Australia,,-25.274398,133.775136
ASA,American Samoa,,-14.270972,-170.132217
ATG,Antigua and Barbuda,,17.060816,-61.796428
AUT,Austria,,47.516231,14.550072
AZE,Azerbaijan,,40.143105,47.576927
BAH,Bahamas,,25.03428,-77.39628
BAN,Bangladesh,,23.684994,90.356331
BDI,Burundi,,-3.373056,29.918886
BEL,Belgium,,50.503887,4.469936
BEN,Benin,,9.30769,2.315834
BER,Bermuda,,32.321384,-64.75737
BFA,Burkina Faso,,12.238333,-1.561593
BHR,Bahrain,,25.930414,50.637772
BHU,Bhutan,,27.514162,90.433601
BIH,Bosnia-Herzegovina,,43.915886,17.679076
BLR,Belarus,,53.709807,27.953389
BLZ,Belize,,17.189877,-88.49765
BOE,Bonaire,,12.1443,-68.2655
BOL,Bolivia,,-16.290154,-63.588653
BOT,Botswana,,-22.328474,24.684866
BRA,Brazil,,-14.235004,-51.92528
BRB,Barbados,,13.193887,-59.543198
BRU,Brunei,,4.535277,114.727669
BUL,Bulgaria,,42.733883,25.48583
CAM,Cambodia,,12.565679,104.990963
CAN,Canada,,56.130366,-106.346771
CAY,Cayman Islands,,19.513469,-80.566956
CGO,Congo,,-4.038333,21.758664
CHA,Chad,,15.454166,18.732207
CHI,Chile,,-35.675147,-71.542969
CHN,China,,35.86166,104.195397
CIV,Côte d'Ivoire,,7.539989,-5.54708
CMR,Cameroon,,7.369722,12.354722
COD,Congo DR,,-0.228021,15.827659
COK,Cook Islands,,-21.236736,-159.777671
COL,Colombia,,4.570868,-74.297333
COM,Comoros,,-11.875001,43.872219
CPV,Cape Verde,,16.002082,-24.013197
CRC,Costa Rica,,9.748917,-83.753428
CRO,Croatia,,45.1,15.2
CTA,Central African Republic,,6.611111,20.939444
CUB,Cuba,,21.521757,-77.781167
CUW,Curaçao,,12.1696,-68.99
CYP,Cyprus,,35.126413,33.429859
CZE,Czech Republic,,49.817492,15.472962
DEN,Denmark,,56.26392,9.501785
DJI,Djibouti,,11.825138,42.590275
DMA,Dominica,,15.414999,-61.370976
DOM,Dominican Republic,,18.735693,-70.162651
ECU,Ecuador,,-1.831239,-78.183406
EGY,Egypt,,26.820553,30.802498
ENG,United Kingdom,England,52.3555,-1.1743
EQG,Equatorial Guinea,,1.650801,10.267895
ERI,Eritrea,,15.179384,39.782334
ESP,Spain,,7.873054,80.771797
EST,Estonia,,58.595272,25.013607
ETH,Ethiopia,,9.145,40.489673
FIJ,Fiji,,-16.578193,179.414413
FIN,Finland,,61.92411,25.748151
FRA,France,,46.227638,2.213749
FRO,Faroe Islands,,-51.796253,-59.523613
GAB,Gabon,,-0.803689,11.609444
GAM,Gambia,,13.443182,-15.310139
GEO,Georgia,,42.315407,43.356892
GER,Germany,,51.165691,10.451526
GHA,Ghana,,7.946527,-1.023194
GIB,Gibraltar,,36.137741,-5.345374
GNB,Guinea-Bissau,,11.803749,-15.180413
GPE,Guadeloupe,,16.995971,-62.067641
GRE,Greece,,39.074208,21.824312
GRN,Grenada,,12.262776,-61.604171
GUA,Guatemala,,15.783471,-90.230759
GUI,Guinea,,9.945587,-9.696645
GUM,Guam,,13.444304,144.793731
GUY,Guyana,,4.860416,-58.93018
GYF,French Guiana,,3.933889,-53.125782
HAI,Haiti,,18.971187,-72.285215
HKG,Hong Kong,,22.396428,114.109497
HON,Honduras,,15.199999,-86.241905
HUN,Hungary,,47.162494,19.503304
IDN,Indonesia,,-0.789275,113.921327
IND,India,,20.593684,78.96288
IRL,Ireland,,53.41291,-8.24389
IRN,Iran,,32.427908,53.688046
IRQ,Iraq,,33.223191,43.679291
ISL,Iceland,,64.963051,-19.020835
ISR,Israel,,31.046051,34.851612
ITA,Italy,,41.87194,12.56738
JAM,Jamaica,,18.109581,-77.297508
JOR,Jordan,,30.585164,36.238414
JPN,Japan,,36.204824,138.252924
KAZ,Kazakhstan,,48.019573,66.923684
KEN,Kenya,,-0.023559,37.906193
KGZ,Kyrgyzstan,,41.20438,74.766098
KIR,Kiribati,,-3.370417,-168.734039
KOR,South Korea,,35.907757,127.766922
KSA,Saudi Arabia,,23.885942,45.079162
KUW,Kuwait,,29.31166,47.481766
LAO,Laos,,19.85627,102.495496
LBR,Liberia,,6.428055,-9.429499
LBY,Libya,,26.3351,17.228331
LCA,Saint Lucia,,13.909444,-60.978893
LES,Lesotho,,-29.609988,28.233608
LIB,Lebanon,,33.854721,35.862285
LIE,Liechtenstein,,47.166,9.555373
LTU,Lithuania,,55.169438,23.881275
LUX,Luxembourg,,49.815273,6.129583
LVA,Latvia,,56.879635,24.603189
MAC,Macau,,22.198745,113.543873
MAD,Madagascar,,-18.766947,46.869107
MAR,Morocco,,31.791702,-7.09262
MAS,Malaysia,,4.210484,101.975766
