Match_ID,Round_Number,Year,Month,Day,Time,Home_Club_ID,Away_Club_ID
1,1,2020,9,12,12:30:00,8,1
2,1,2020,9,12,15:00:00,6,16
3,1,2020,9,12,17:30:00,11,9
4,1,2020,9,12,20:00:00,19,14
5,1,2020,9,13,14:00:00,18,10
6,1,2020,9,13,16:30:00,17,7
7,1,2020,9,14,18:00:00,15,20
8,1,2020,9,14,20:15:00,3,5
9,2,2020,9,19,12:30:00,7,18
10,2,2020,9,19,15:00:00,9,8
11,2,2020,9,19,17:30:00,13,6
12,2,2020,9,19,20:00:00,1,19
13,2,2020,9,20,12:00:00,16,17
14,2,2020,9,20,14:00:00,14,3
15,2,2020,9,20,16:30:00,5,11
16,2,2020,9,20,19:00:00,10,4
17,2,2020,9,21,18:00:00,2,15
18,2,2020,9,21,20:15:00,20,12
19,3,2020,9,26,12:30:00,3,13
20,3,2020,9,26,15:00:00,6,7
21,3,2020,9,26,17:30:00,18,5
22,3,2020,9,26,20:00:00,4,16
23,3,2020,9,27,12:00:00,15,9
24,3,2020,9,27,14:00:00,17,14
25,3,2020,9,27,16:30:00,12,10
26,3,2020,9,27,19:00:00,19,20
27,3,2020,9,28,17:45:00,8,2
28,3,2020,9,28,20:00:00,11,1
29,4,2020,10,3,12:30:00,5,6
30,4,2020,10,3,15:00:00,7,3
31,4,2020,10,3,17:30:00,9,12
32,4,2020,10,3,20:00:00,14,4
33,4,2020,10,4,12:00:00,10,19
34,4,2020,10,4,12:00:00,16,18
35,4,2020,10,4,14:00:00,1,15
36,4,2020,10,4,14:00:00,20,8
37,4,2020,10,4,16:30:00,13,17
38,4,2020,10,4,19:15:00,2,11
39,5,2020,10,17,12:30:00,7,11
40,5,2020,10,17,15:00:00,5,16
41,5,2020,10,17,17:30:00,12,1
42,5,2020,10,17,20:00:00,14,13
43,5,2020,10,18,12:00:00,15,8
44,5,2020,10,18,14:00:00,6,3
45,5,2020,10,18,16:30:00,17,19
46,5,2020,10,18,19:15:00,10,2
47,5,2020,10,19,17:30:00,18,4
48,5,2020,10,19,20:00:00,9,20
49,6,2020,10,23,20:00:00,2,9
50,6,2020,10,24,12:30:00,19,12
51,6,2020,10,24,15:00:00,8,6
52,6,2020,10,24,17:30:00,13,5
53,6,2020,10,24,20:00:00,11,15
54,6,2020,10,25,14:00:00,16,7
55,6,2020,10,25,16:30:00,20,14
56,6,2020,10,25,19:15:00,1,10
57,6,2020,10,26,17:30:00,3,18
58,6,2020,10,26,20:00:00,4,17
59,7,2020,10,30,20:00:00,20,6
60,7,2020,10,31,12:30:00,15,12
61,7,2020,10,31,15:00:00,4,5
62,7,2020,10,31,17:30:00,11,19
63,7,2020,11,1,12:00:00,2,16
64,7,2020,11,1,14:00:00,14,7
65,7,2020,11,1,16:30:00,13,1
66,7,2020,11,1,19:15:00,17,3
67,7,2020,11,2,17:30:00,8,18
68,7,2020,11,2,20:00:00,9,10
69,8,2020,11,6,17:30:00,3,4
70,8,2020,11,6,20:00:00,16,14
71,8,2020,11,7,12:30:00,7,13
72,8,2020,11,7,15:00:00,6,9
73,8,2020,11,7,17:30:00,5,15
74,8,2020,11,7,20:00:00,19,8
75,8,2020,11,8,12:00:00,18,17
76,8,2020,11,8,14:00:00,10,20
77,8,2020,11,8,16:30:00,12,11
