Match_ID,Round_Number,Time,Home_Club_ID,Away_Club_ID
156,17,01/01/2021 17:30,Everton,West Ham United
157,17,01/01/2021 20:00,Manchester United,Aston Villa
158,17,02/01/2021 12:30,Tottenham Hotspur,Leeds United
159,17,02/01/2021 15:00,Crystal Palace,Sheffield United
160,17,02/01/2021 17:30,Brighton,Wolverhampton Wanderers
161,17,02/01/2021 20:00,West Bromwich Albion,Arsenal
162,17,03/01/2021 14:15,Newcastle United,Leicester City
163,17,03/01/2021 16:30,Chelsea,Manchester City
164,17,04/01/2021 20:00,Southampton,Liverpool
165,18,12/01/2021 18:00,Sheffield United,Newcastle United
166,18,12/01/2021 20:15,Burnley,Manchester United
167,18,12/01/2021 20:15,Wolverhampton Wanderers,Everton
168,18,13/01/2021 18:00,Manchester City,Brighton
169,18,13/01/2021 20:15,Tottenham Hotspur,Fulham
170,18,14/01/2021 20:00,Arsenal,Crystal Palace
171,19,16/01/2021 12:30,Wolverhampton Wanderers,West Bromwich Albion
172,19,16/01/2021 15:00,Leeds United,Brighton
173,19,16/01/2021 15:00,West Ham United,Burnley
174,19,16/01/2021 17:30,Fulham,Chelsea
175,19,16/01/2021 20:00,Leicester City,Southampton
176,19,17/01/2021 14:00,Sheffield United,Tottenham Hotspur
177,19,17/01/2021 16:30,Liverpool,Manchester United
178,19,17/01/2021 19:15,Manchester City,Crystal Palace
179,19,18/01/2021 20:00,Arsenal,Newcastle United
180,19,19/01/2021 18:00,West Ham United,West Bromwich Albion
181,19,19/01/2021 20:15,Leicester City,Chelsea
182,19,20/01/2021 18:00,Manchester City,Aston Villa
183,19,20/01/2021 20:15,Fulham,Manchester United
184,19,21/01/2021 20:00,Liverpool,Burnley
185,19,23/01/2021 20:00,Aston Villa,Newcastle United
186,20,26/01/2021 18:00,Newcastle United,Leeds United
187,20,26/01/2021 18:00,Crystal Palace,West Ham United
188,20,26/01/2021 20:15,West Bromwich Albion,Manchester City
189,20,26/01/2021 20:15,Southampton,Arsenal
190,20,27/01/2021 18:00,Burnley,Aston Villa
191,20,27/01/2021 18:00,Chelsea,Wolverhampton Wanderers
192,20,27/01/2021 19:30,Brighton,Fulham
193,20,27/01/2021 20:15,Everton,Leicester City
194,20,27/01/2021 20:15,Manchester United,Sheffield United
195,20,28/01/2021 20:00,Tottenham Hotspur,Liverpool
196,21,30/01/2021 12:30,Everton,Newcastle United
197,21,30/01/2021 15:00,Crystal Palace,Wolverhampton Wanderers
198,21,30/01/2021 15:00,Manchester City,Sheffield United
199,21,30/01/2021 15:00,West Bromwich Albion,Fulham
200,21,30/01/2021 17:30,Arsenal,Manchester United
201,21,30/01/2021 20:00,Southampton,Aston Villa
202,21,31/01/2021 12:00,Chelsea,Burnley
203,21,31/01/2021 14:00,Leicester City,Leeds United
204,21,31/01/2021 16:30,West Ham United,Liverpool
205,21,31/01/2021 19:15,Brighton,Tottenham Hotspur
206,22,02/02/2021 18:00,Sheffield United,West Bromwich Albion
207,22,02/02/2021 18:00,Wolverhampton Wanderers,Arsenal
208,22,02/02/2021 20:15,Manchester United,Southampton
209,22,02/02/2021 20:15,Newcastle United,Crystal Palace
210,22,03/02/2021 18:00,Burnley,Manchester City
211,22,03/02/2021 18:00,Fulham,Leicester City
212,22,03/02/2021 19:30,Leeds United,Everton
213,22,03/02/2021 20:15,Aston Villa,West Ham United
214,22,03/02/2021 20:15,Liverpool,Brighton
215,22,04/02/2021 20:00,Tottenham Hotspur,Chelsea
216,23,06/02/2021 12:30,Aston Villa,Arsenal
217,23,06/02/2021 15:00,Burnley,Brighton
218,23,06/02/2021 15:00,Newcastle United,Southampton
219,23,06/02/2021 17:30,Fulham,West Ham United
220,23,06/02/2021 20:00,Manchester United,Everton
221,23,07/02/2021 12:00,Tottenham Hotspur,West Bromwich Albion
222,23,07/02/2021 14:00,Wolverhampton Wanderers,Leicester City
223,23,07/02/2021 16:30,Liverpool,Manchester City
