Name,Nationality,Age,Club,Position
Mason Mount,ENG,21,Chelsea,"MF,FW"
Edouard Mendy,SEN,28,Chelsea,GK
Timo Werner,GER,24,Chelsea,FW
Ben Chilwell,ENG,23,Chelsea,DF
Reece James,ENG,20,Chelsea,DF
César Azpilicueta,ESP,30,Chelsea,DF
N'Golo Kanté,FRA,29,Chelsea,MF
Jorginho,ITA,28,Chelsea,MF
Thiago Silva,BRA,35,Chelsea,DF
Kurt Zouma,FRA,25,Chelsea,DF
Mateo Kovačić,CRO,26,Chelsea,MF
Antonio Rüdiger,GER,27,Chelsea,DF
Christian Pulisic,USA,21,Chelsea,"FW,MF"
Kai Havertz,GER,21,Chelsea,"MF,FW"
Andreas Christensen,DEN,24,Chelsea,DF
Hakim Ziyech,MAR,27,Chelsea,"FW,MF"
Tammy Abraham,ENG,22,Chelsea,FW
Marcos Alonso,ESP,29,Chelsea,DF
Callum Hudson-Odoi,ENG,19,Chelsea,"FW,DF"
Olivier Giroud,FRA,33,Chelsea,FW
Kepa Arrizabalaga,ESP,25,Chelsea,GK
Billy Gilmour,SCO,19,Chelsea,MF
Willy Caballero,ARG,38,Chelsea,GK
Ruben Loftus-Cheek,ENG,24,Chelsea,FW
Emerson Palmieri,ITA,25,Chelsea,DF
Fikayo Tomori,ENG,22,Chelsea,DF
Ross Barkley,ENG,26,Chelsea,MF
Ederson,BRA,26,Manchester City,GK
Rúben Dias,POR,23,Manchester City,DF
Rodri,ESP,24,Manchester City,MF
Raheem Sterling,ENG,25,Manchester City,FW
João Cancelo,POR,26,Manchester City,DF
Bernardo Silva,POR,25,Manchester City,"MF,FW"
İlkay Gündoğan,GER,29,Manchester City,MF
Kevin De Bruyne,BEL,29,Manchester City,MF
Riyad Mahrez,ALG,29,Manchester City,FW
Gabriel Jesus,BRA,23,Manchester City,FW
Kyle Walker,ENG,30,Manchester City,DF
John Stones,ENG,26,Manchester City,DF
Phil Foden,ENG,20,Manchester City,"FW,MF"
Oleksandr Zinchenko,UKR,23,Manchester City,DF
Ferrán Torres,ESP,20,Manchester City,"FW,MF"
Aymeric Laporte,FRA,26,Manchester City,DF
Fernandinho,BRA,35,Manchester City,MF
Benjamin Mendy,FRA,26,Manchester City,DF
Nathan Aké,NED,25,Manchester City,DF
Sergio Agüero,ARG,32,Manchester City,"FW,MF"
Eric García,ESP,19,Manchester City,DF
Scott Carson,ENG,34,Manchester City,GK
Zack Steffen,USA,25,Manchester City,GK
Liam Delap,ENG,17,Manchester City,FW
Bruno Fernandes,POR,25,Manchester United,MF
Aaron Wan-Bissaka,ENG,22,Manchester United,DF
Harry Maguire,ENG,27,Manchester United,DF
Marcus Rashford,ENG,22,Manchester United,FW
Luke Shaw,ENG,25,Manchester United,DF
Victor Lindelöf,SWE,26,Manchester United,DF
Fred,BRA,27,Manchester United,MF
David de Gea,ESP,29,Manchester United,GK
Scott McTominay,SCO,23,Manchester United,MF
Paul Pogba,FRA,27,Manchester United,"MF,FW"
Mason Greenwood,ENG,18,Manchester United,FW
Anthony Martial,FRA,24,Manchester United,FW
Edinson Cavani,URU,33,Manchester United,FW
Dean Henderson,ENG,23,Manchester United,GK
Nemanja Matić,SRB,31,Manchester United,MF
Daniel James,WAL,22,Manchester United,FW
Eric Bailly,CIV,26,Manchester United,DF
