Player_ID,Name,Nationality,Age
1,Mason Mount,ENG,21
2,Edouard Mendy,SEN,28
3,Timo Werner,GER,24
4,Ben Chilwell,ENG,23
5,Reece James,ENG,20
6,César Azpilicueta,ESP,30
7,N'Golo Kanté,FRA,29
8,Jorginho,ITA,28
9,Thiago Silva,BRA,35
10,Kurt Zouma,FRA,25
11,Mateo Kovačić,CRO,26
12,Antonio Rüdiger,GER,27
13,Christian Pulisic,USA,21
14,Kai Havertz,GER,21
15,Andreas Christensen,DEN,24
16,Hakim Ziyech,MAR,27
17,Tammy Abraham,ENG,22
18,Marcos Alonso,ESP,29
19,Callum Hudson-Odoi,ENG,19
20,Olivier Giroud,FRA,33
21,Kepa Arrizabalaga,ESP,25
22,Billy Gilmour,SCO,19
23,Willy Caballero,ARG,38
24,Ruben Loftus-Cheek,ENG,24
25,Emerson Palmieri,ITA,25
26,Fikayo Tomori,ENG,22
27,Ross Barkley,ENG,26
28,Ederson,BRA,26
29,Rúben Dias,POR,23
30,Rodri,ESP,24
31,Raheem Sterling,ENG,25
32,João Cancelo,POR,26
33,Bernardo Silva,POR,25
34,İlkay Gündoğan,GER,29
35,Kevin De Bruyne,BEL,29
36,Riyad Mahrez,ALG,29
37,Gabriel Jesus,BRA,23
38,Kyle Walker,ENG,30
39,John Stones,ENG,26
40,Phil Foden,ENG,20
41,Oleksandr Zinchenko,UKR,23
42,Ferrán Torres,ESP,20
43,Aymeric Laporte,FRA,26
44,Fernandinho,BRA,35
45,Benjamin Mendy,FRA,26
46,Nathan Aké,NED,25
47,Sergio Agüero,ARG,32
48,Eric García,ESP,19
49,Scott Carson,ENG,34
50,Zack Steffen,USA,25
51,Liam Delap,ENG,17
52,Bruno Fernandes,POR,25
53,Aaron Wan-Bissaka,ENG,22
54,Harry Maguire,ENG,27
55,Marcus Rashford,ENG,22
56,Luke Shaw,ENG,25
57,Victor Lindelöf,SWE,26
58,Fred,BRA,27
59,David de Gea,ESP,29
60,Scott McTominay,SCO,23
61,Paul Pogba,FRA,27
62,Mason Greenwood,ENG,18
63,Anthony Martial,FRA,24
64,Edinson Cavani,URU,33
65,Dean Henderson,ENG,23
66,Nemanja Matić,SRB,31
67,Daniel James,WAL,22
68,Eric Bailly,CIV,26
69,Alex Telles,BRA,27
70,Juan Mata,ESP,32
71,Donny van de Beek,NED,23
72,Axel Tuanzebe,ENG,22
73,Brandon Williams,ENG,19
74,Amad Diallo,CIV,18
75,Anthony Elanga,SWE,18
76,Timothy Fosu-Mensah,NED,22
77,Shola Shoretire,ENG,16
78,Odion Ighalo,NGA,31
79,Hannibal Mejbri,FRA,17
80,William Thomas Fish,ENG,17
81,Andrew Robertson,SCO,26
82,Mohamed Salah,EGY,28
83,Trent Alexander-Arnold,ENG,21
84,Georginio Wijnaldum,NED,29
85,Alisson,BRA,27
86,Roberto Firmino,BRA,28
87,Sadio Mané,SEN,28
88,Fabinho,BRA,26
89,Thiago Alcántara,ESP,29
90,Jordan Henderson,ENG,30
91,Nathaniel Phillips,ENG,23
92,Curtis Jones,ENG,19
93,Diogo Jota,POR,23
94,James Milner,ENG,34
95,Ozan Kabak,TUR,20
96,Joël Matip,CMR,28
97,Rhys Williams,ENG,19
98,Naby Keïta,GUI,25
99,Joe Gomez,ENG,23
100,Xherdan Shaqiri,SUI,28
101,Virgil van Dijk,NED,29
102,Adrián,ESP,33
103,Neco Williams,WAL,19
104,Takumi Minamino,JPN,25
105,Alex Oxlade-Chamberlain,ENG,26
106,Divock Origi,BEL,25
107,Caoimhín Kelleher,IRL,21
108,Kostas Tsimikas,GRE,24
109,Kasper Schmeichel,DEN,33
