Name,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,Yellow_Cards,Red_Cards
Mason Mount,36,32,2890,6,5,1881,82.3,1,1,2,0
Edouard Mendy,31,31,2745,0,0,1007,84.6,0,0,2,0
Timo Werner,35,29,2602,6,8,826,77.2,0,0,2,0
Ben Chilwell,27,27,2286,3,5,1806,78.6,0,0,3,0
Reece James,32,25,2373,1,2,1987,85,0,0,3,0
César Azpilicueta,26,24,2188,1,2,2015,87.5,0,0,5,1
N'Golo Kanté,30,24,2146,0,2,1504,86.6,0,0,7,0
Jorginho,28,23,2010,7,1,1739,89.5,7,9,2,0
Thiago Silva,23,23,1935,2,0,1871,93.5,0,0,5,1
Kurt Zouma,24,22,2029,5,0,1720,91.9,0,0,3,0
Mateo Kovačić,27,21,1815,0,1,1737,91,0,0,4,0
Antonio Rüdiger,19,19,1710,1,0,1476,90.7,0,0,0,0
Christian Pulisic,27,18,1738,4,2,690,80,0,0,2,0
Kai Havertz,27,18,1520,4,3,765,86.1,0,0,2,0
Andreas Christensen,17,15,1371,0,0,1089,92.8,0,0,2,1
Hakim Ziyech,23,15,1172,2,3,734,74.7,0,0,3,0
Tammy Abraham,22,12,1040,6,1,218,68.3,0,0,0,0
Marcos Alonso,13,11,960,2,0,592,81.6,0,0,2,0
Callum Hudson-Odoi,23,10,1059,2,3,659,82.2,0,0,0,0
Olivier Giroud,17,8,748,4,0,217,74.2,0,0,1,0
Kepa Arrizabalaga,7,6,585,0,0,243,81.5,0,0,1,0
Billy Gilmour,5,3,261,0,0,215,89.3,0,0,0,0
Willy Caballero,1,1,90,0,0,26,92.3,0,0,0,0
Ruben Loftus-Cheek,1,1,60,0,0,16,68.8,0,0,0,0
Emerson Palmieri,2,0,90,0,0,63,81,0,0,0,0
Fikayo Tomori,1,0,45,0,0,29,93.1,0,0,0,0
Ross Barkley,2,0,42,0,0,26,84.6,0,0,0,0
Ederson,36,36,3240,0,1,1090,83.1,0,0,3,0
Rúben Dias,32,32,2843,1,0,2671,93.6,0,0,4,0
Rodri,34,31,2748,2,2,2728,91.5,1,1,6,0
Raheem Sterling,31,28,2536,10,7,1127,85.4,0,1,4,0
João Cancelo,28,27,2299,2,3,2094,85.7,0,0,5,1
Bernardo Silva,26,24,2065,2,6,1427,89.7,0,0,5,0
İlkay Gündoğan,28,23,2029,13,2,1707,91,1,2,1,0
Kevin De Bruyne,25,23,1997,6,12,1406,76,2,3,1,0
Riyad Mahrez,27,23,1949,9,6,1086,84.2,0,0,0,0
Gabriel Jesus,29,22,2063,9,4,754,84.6,0,0,2,0
Kyle Walker,24,22,1946,1,1,1897,89.4,0,0,1,0
John Stones,22,22,1933,4,0,1713,94.3,0,0,0,1
Phil Foden,28,17,1616,9,5,838,82,0,0,0,0
Oleksandr Zinchenko,20,15,1478,0,0,1475,90.2,0,0,0,0
Ferrán Torres,24,15,1306,7,2,442,81.4,0,0,1,0
Aymeric Laporte,16,14,1344,0,0,1261,92,0,0,1,0
Fernandinho,21,12,1188,0,2,1001,87.8,0,0,6,0
Benjamin Mendy,13,11,953,2,1,651,81.7,0,0,2,0
Nathan Aké,10,9,797,1,0,755,93,0,0,4,0
Sergio Agüero,12,7,559,4,1,170,84.1,1,2,0,0
Eric García,6,3,383,0,0,344,93.6,0,0,0,0
Scott Carson,1,1,90,0,0,16,93.8,0,0,0,0
Zack Steffen,1,1,90,0,0,28,82.1,0,0,0,0
Liam Delap,1,0,40,0,0,7,71.4,0,0,0,0
Bruno Fernandes,37,35,3099,18,12,2283,74.6,9,10,6,0
Aaron Wan-Bissaka,34,34,3060,2,4,2065,86,0,0,3,0
Harry Maguire,34,34,3047,2,1,2139,89,0,0,11,0
Marcus Rashford,37,33,2920,11,9,1234,80.6,0,0,4,0
Luke Shaw,32,30,2654,1,5,2015,81.6,0,0,8,0
Victor Lindelöf,29,29,2585,1,1,1800,91.1,0,0,0,0
Fred,30,27,2390,1,0,1763,88.2,0,0,5,0
David de Gea,26,26,2295,0,0,594,77.1,0,0,0,0
Scott McTominay,32,24,2129,4,1,1270,87.3,0,0,3,0
Paul Pogba,26,21,1897,3,3,1343,82.8,0,0,3,0
Mason Greenwood,31,21,1822,7,2,732,83.1,0,0,2,0
Anthony Martial,22,17,1480,4,3,488,82.8,0,0,0,1
Edinson Cavani,26,13,1375,10,3,343,78.7,0,0,4,0
Dean Henderson,13,12,1125,0,0,314,75.2,0,0,3,0
Nemanja Matić,20,12,1106,0,0,975,90.5,0,0,2,0
Daniel James,15,11,910,3,1,304,78,0,0,3,0
Eric Bailly,12,10,916,0,0,547,90.3,0,0,3,0
Alex Telles,9,8,690,0,2,570,80.5,0,0,0,0
Juan Mata,9,6,509,1,2,294,84,1,1,0,0
Donny van de Beek,19,4,524,1,1,279,84.2,0,0,1,0
Axel Tuanzebe,9,4,404,0,0,263,89.7,0,0,2,0
Brandon Williams,4,2,188,0,0,140,85.7,0,0,0,0
Amad Diallo,3,2,166,0,1,64,84.4,0,0,0,0
Anthony Elanga,2,2,155,1,0,53,81.1,0,0,0,0
Timothy Fosu-Mensah,1,1,80,0,0,75,86.7,0,0,1,0
Shola Shoretire,2,0,11,0,0,8,75,0,0,0,0
Odion Ighalo,1,0,10,0,0,1,100,0,0,0,0
Hannibal Mejbri,1,0,9,0,0,3,100,0,0,0,0
William Thomas Fish,1,0,1,0,0,1,0,0,0,0,0
Andrew Robertson,38,38,3383,1,7,3214,79.9,0,0,2,0
Mohamed Salah,37,34,3078,22,5,1288,83.2,6,6,0,0
Trent Alexander-Arnold,36,34,3031,2,7,2941,75.3,0,0,2,0
Georginio Wijnaldum,38,34,2941,2,0,1747,93.3,0,0,1,0
Alisson,33,33,2970,1,0,1137,85.2,0,0,1,0
Roberto Firmino,36,33,2838,9,7,1308,79.7,0,0,2,0
Sadio Mané,35,31,2810,11,7,1064,75.4,0,0,3,0
Fabinho,30,28,2567,0,0,2049,91.1,0,0,6,0
Thiago Alcántara,24,20,1854,1,0,1674,89.5,0,0,4,0
Jordan Henderson,21,20,1704,1,1,1812,86.8,0,0,0,0
Nathaniel Phillips,17,15,1456,1,1,1058,87.2,0,0,2,0
Curtis Jones,24,13,1179,1,2,976,91.2,0,0,2,0
Diogo Jota,19,12,1112,9,0,451,72.5,0,0,2,0
James Milner,26,11,1070,0,1,913,84.9,0,0,3,0
Ozan Kabak,9,9,801,0,0,554,90.6,0,0,3,0
Joël Matip,10,9,691,1,2,527,88.4,0,0,2,0
Rhys Williams,9,7,661,0,0,451,92,0,0,0,0
Naby Keïta,10,7,520,0,0,356,87.4,0,0,1,0
Joe Gomez,7,6,590,0,0,532,90.2,0,0,0,0
Xherdan Shaqiri,14,5,556,0,2,426,83.6,0,0,2,0
Virgil van Dijk,5,5,370,1,0,329,90,0,0,1,0
Adrián,3,3,270,0,0,99,76.8,0,0,0,0
Neco Williams,6,3,249,0,0,213,73.2,0,0,1,0
Takumi Minamino,9,2,293,1,0,139,79.9,0,0,0,0
Alex Oxlade-Chamberlain,13,2,253,1,1,138,75.4,0,0,0,0
Divock Origi,9,2,186,0,0,60,76.7,0,0,0,0
Caoimhín Kelleher,2,2,180,0,0,62,82.3,0,0,0,0
Kostas Tsimikas,2,0,7,0,0,8,75,0,0,0,0
Kasper Schmeichel,38,38,3420,0,0,1218,72.7,0,0,0,0
Youri Tielemans,38,37,3357,6,4,2559,78.6,2,2,6,0
Jamie Vardy,34,31,2840,15,9,452,66.4,8,9,1,0
Jonny Evans,28,28,2473,2,2,1764,87.5,0,0,7,0
Timothy Castagne,27,27,2345,2,3,1512,83.8,0,0,1,0
Wesley Fofana,28,27,2262,0,0,1672,88.2,0,0,7,0
Wilfred Ndidi,26,25,2176,1,4,1363,88.1,0,0,6,0
James Maddison,31,24,2099,8,5,1116,77.3,0,0,4,0
James Justin,23,23,2070,2,1,1248,79.2,0,0,4,0
Harvey Barnes,25,22,1945,9,4,626,74.8,0,0,0,0
Çağlar Söyüncü,23,19,1819,1,0,1351,89,0,0,2,0
Marc Albrighton,31,17,1746,1,5,923,68.8,0,0,2,0
Kelechi Iheanacho,25,16,1459,12,2,501,79.8,0,1,1,0
Nampalys Mendy,23,15,1459,0,1,965,91.4,0,0,5,0
Ayoze Pérez,25,15,1331,2,1,499,76.6,0,0,2,0
Luke Thomas,14,12,969,1,0,484,74.2,0,0,2,0
Ricardo Pereira,15,10,959,0,1,525,78.3,0,0,3,0
Dennis Praet,15,10,718,1,1,313,79.2,0,0,0,0
Daniel Amartey,12,8,722,1,0,466,85.8,0,0,3,0
Christian Fuchs,9,8,702,0,0,589,81.2,0,0,4,0
Hamza Choudhury,10,4,316,0,0,235,80.9,0,0,1,0
Cengiz Ünder,9,1,281,0,2,129,70.5,0,0,0,0
Sidnei Tavares,2,1,85,0,0,26,73.1,0,0,0,0
Islam Slimani,1,0,20,0,0,11,72.7,0,0,0,0
